MARKET,TF,MEAN,BREAKOUT,RTM,RTM_PERCENT,BO_PERCENT,EXIT_PERCENT,STOP_PERC,sharpe_ratio
BTC-DASH,5,8,True,True,2.0,1.0,10.0,5.0,0.201790255345
BTC-LSK,5,20,True,True,2.0,1.0,5.0,5.0,0.824255761893
BTC-OMG,5,20,True,True,3.0,1.0,5.0,15.0,0.413646587752
BTC-LSK,5,8,True,True,3.0,1.0,5.0,10.0,0.38698410158
BTC-XRP,5,20,True,True,3.0,1.0,5.0,5.0,0.503346051298
BTC-OMG,5,20,True,True,3.0,1.0,10.0,5.0,0.339059510104
BTC-XRP,5,8,True,True,5.0,1.0,10.0,10.0,0.115401285582
BTC-BAT,5,8,True,True,5.0,1.0,10.0,5.0,0.0324767438048
BTC-NAV,5,20,True,True,5.0,1.0,1.0,10.0,0.0669034752455
BTC-XMR,5,20,True,True,5.0,1.0,1.0,5.0,0.197032368816
BTC-BCC,5,20,True,True,2.0,1.0,1.0,5.0,0.725043428796
BTC-MCO,5,20,True,True,5.0,1.0,10.0,5.0,0.699876213512
BTC-QTUM,5,20,True,True,2.0,1.0,1.0,5.0,0.609895419928
BTC-QTUM,5,20,True,True,5.0,1.0,1.0,15.0,-0.118615330355
BTC-XVG,5,8,True,True,2.0,1.0,5.0,10.0,0.308751257381
BTC-TRIG,5,8,True,True,3.0,1.0,10.0,5.0,0.655274412309
BTC-MTL,5,20,True,True,5.0,1.0,5.0,10.0,0.30944076275
BTC-XMR,5,20,True,True,3.0,1.0,10.0,10.0,0.392895472706
BTC-LSK,5,20,True,True,5.0,1.0,5.0,15.0,0.489748808098
BTC-MCO,5,8,True,True,5.0,1.0,10.0,5.0,0.351711876661
BTC-ETC,5,8,True,True,2.0,1.0,10.0,5.0,0.152406712975
BTC-XRP,5,8,True,True,2.0,1.0,10.0,15.0,0.157042495927
BTC-STRAT,5,20,True,True,5.0,1.0,1.0,15.0,-0.0474116548767
BTC-LTC,5,20,True,True,3.0,1.0,1.0,5.0,0.115964519065
BTC-RISE,5,8,True,True,2.0,1.0,5.0,15.0,0.602115883202
BTC-LTC,5,8,True,True,2.0,1.0,5.0,10.0,0.232984025694
BTC-MTL,5,20,True,True,3.0,1.0,1.0,10.0,0.149081302383
BTC-RISE,5,20,True,True,5.0,1.0,5.0,15.0,0.84465200521
BTC-XRP,5,8,True,True,5.0,1.0,5.0,15.0,0.051472690869
BTC-NEO,5,8,True,True,5.0,1.0,1.0,15.0,-0.227358271258
BTC-BAT,5,8,True,True,5.0,1.0,1.0,10.0,-0.139163652844
BTC-NEO,5,20,True,True,5.0,1.0,1.0,15.0,-0.111327675778
BTC-MTL,5,8,True,True,3.0,1.0,1.0,5.0,-0.162074698553
BTC-BAT,5,20,True,True,2.0,1.0,10.0,10.0,0.267791607375
BTC-ETC,5,20,True,True,3.0,1.0,10.0,5.0,0.176002903754
BTC-APX,5,20,True,True,5.0,1.0,1.0,5.0,0.187320835279
